SEÐLABANKI ÍSLANDS,,,,,,,,,,,,,,
Upplýsingatækni og gagnasöfnun,,,,,HAGTÖLUR SEÐLABANKANS,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,Bankavextir og dráttarvextir (%),,,,,,,,,
,,,,,, í lok hvers mánaðar,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,Innláns-vextir 1,,Óverðtryggð skuldabréfalán 1,,,Verðtryggð skuldabréfalán 1,,,Vextir birtir af SÍ skv. lögum nr. 38/2001,,,,
,,Almennir spari- reikningar 2,,Lægstu vextir,Hæstu vextir,,Lægstu vextir,Hæstu vextir,,Dráttarvextir pen.krafna í krónum 3,Almennir vextir óverðtryggðra lána 4,Almennir vextir verð-tryggðra lána 4,Vextir af skaðabóta-kröfum 5,
,,,,,,,,,,,,,,
,Júní,6.00,,18.40,24.65,,6.30,15.65,,25.0,18.50,6.30,12.30,
,Júlí,5.90,,18.40,24.65,,6.05,15.65,,26.5,18.50,6.30,12.30,
,Ágúst,5.90,,18.40,24.65,,6.05,15.65,,26.5,18.50,6.05,12.30,
,September,5.90,,18.40,24.65,,6.05,15.65,,26.5,18.50,6.05,12.30,
,Október,3.90,,14.90,21.15,,5.90,15.35,,26.5,18.50,6.05,12.30,
,Nóvember,8.00,,20.90,26.85,,5.90,15.35,,26.5,15.00,5.90,10.00,
,Desember,8.00,,20.90,26.85,,5.90,15.35,,26.5,21.00,5.90,14.00,
,,,,,,,,,,,,,,
2009,Janúar,7.90,,20.00,26.65,,5.90,14.95,,25.0,21.00,5.90,14.00,
,Febrúar,7.90,,19.00,26.65,,5.90,14.95,,25.0,20.00,5.90,13.30,
,Mars,7.60,,19.00,26.65,,5.90,14.95,,25.0,19.00,5.90,12.70,
,Apríl,6.80,,18.00,25.65,,5.90,14.95,,24.0,19.00,5.90,12.70,
,Maí,2.40,,10.50,22.50,,5.90,13.00,,22.5,18.00,5.90,12.00,
,Júní,2.00,,10.50,21.30,,5.80,12.40,,20.0,10.50,5.90,7.00,
,Júlí,2.00,,10.50,21.30,,5.80,12.40,,19.0,10.50,5.80,7.00,
,Ágúst,1.60,,10.25,21.30,,4.90,12.40,,19.0,10.50,5.80,7.00,
,September,1.40,,10.25,20.95,,4.90,12.40,,19.0,10.50,4.90,7.00,
,Október,1.40,,10.25,18.95,,4.90,12.40,,19.0,10.50,4.90,7.00,
,Nóvember,1.30,,9.00,17.95,,5.30,12.20,,19.0,10.50,4.90,7.00,
,Desember,0.90,,8.50,17.15,,4.80,12.20,,18.0,9.00,5.30,6.00,
,,,,,,,,,,,,,,
2010,Janúar,0.80,,8.50,17.15,,4.80,12.20,,17.0,8.50,4.80,5.70,
,Febrúar,0.80,,8.50,16.65,,4.80,12.10,,17.0,8.50,4.80,5.70,
,Mars,0.80,,8.50,16.65,,4.80,12.10,,16.5,8.50,4.80,5.70,
