utgdag,kaupverd,fasteignamat,einflm,lod_flm,fmverd,yfirverd,count,sveitarfelag_Garðabær,sveitarfelag_Hafnarfjarðarkaupstaður,sveitarfelag_Kópavogsbær,sveitarfelag_Mosfellsbær,sveitarfelag_Reykjavíkurborg,tegund_Fjolbyli,tegund_Serbyli
2011-06-30,26211.451882845187,21623.38912133891,118.58912133891218,3523.0569037656905,228.67080590890288,0.2864695343266751,239,21.0,22.0,41.0,10.0,145.0,201.0,38.0
2011-07-31,26698.73597359736,21519.47194719472,119.49537953795388,3142.9013201320136,232.45277193470278,0.2670170595169752,303,21.0,36.0,54.0,16.0,176.0,249.0,54.0
2011-08-31,26760.009868421053,21359.28947368421,116.9322368421053,3451.5835526315786,233.85254850915717,0.3090102236099912,304,19.0,33.0,50.0,16.0,186.0,252.0,52.0
2011-09-30,27388.695945945947,21254.527027027027,116.67432432432425,3505.5699324324332,240.04029442435757,0.32529441077324517,296,22.0,23.0,61.0,11.0,179.0,248.0,48.0
2011-10-31,27880.851301115243,22049.665427509295,120.48884758364312,4129.62973977695,239.09068268001693,0.28145697646506324,269,20.0,23.0,50.0,4.0,172.0,222.0,47.0
2011-11-30,28523.210344827585,22261.44827586207,121.09827586206899,3502.794827586207,238.77888078236793,0.2912198124598225,290,23.0,34.0,47.0,6.0,180.0,236.0,54.0
2011-12-31,27617.50579150579,21060.84942084942,113.99768339768339,3404.1386100386094,247.46828963980388,0.4418960644561331,259,16.0,38.0,48.0,6.0,151.0,222.0,37.0
2012-01-31,27429.095022624435,23090.76923076923,118.51402714932134,3426.882805429864,238.9559788634876,0.42311706445785047,221,16.0,30.0,34.0,10.0,131.0,182.0,39.0
2012-02-29,27046.0977443609,22654.135338345866,115.81165413533836,3784.534962406014,241.28146508377532,0.3213731357461815,266,19.0,29.0,47.0,5.0,166.0,218.0,48.0
2012-03-31,27566.101449275364,22908.478260869564,115.41268115942033,3185.280434782609,245.16682256300075,0.2736983397986559,276,11.0,23.0,60.0,7.0,175.0,233.0,43.0
2012-04-30,27885.0625,23065.390625,118.1519531249999,3330.1640624999995,243.1572285614172,0.2554993150888836,256,13.0,37.0,58.0,8.0,140.0,210.0,46.0
