date,kaupverd,fasteignamat,byggar,einflm,lod_flm,fullbuid,postnr_101.0,postnr_102.0,postnr_103.0,postnr_104.0,postnr_105.0,postnr_107.0,postnr_108.0,postnr_109.0,postnr_110.0,postnr_111.0,postnr_112.0,postnr_113.0,postnr_116.0,postnr_161.0,postnr_162.0,postnr_200.0,postnr_201.0,postnr_203.0,postnr_206.0,postnr_220.0,postnr_221.0,postnr_270.0,postnr_271.0,sveitarfelag_Hafnarfjarðarkaupstaður,sveitarfelag_Kópavogsbær,sveitarfelag_Mosfellsbær,sveitarfelag_Reykjavíkurborg,verd_m2,fjöldi_kaupsamninga,auglyst_serbyli,solutimi,Verðtryggð lán,erlend_lan,Óverðtryggð lán,overdtryggt,verdtryggt,visitala_rvk_%,verdbolga_%
2016-03-01,56203.29113924051,49007.59493670886,1980.2278481012659,196.28101265822787,1342.2151898734178,1.0,0.02531645569620253,0.0,0.0,0.0379746835443038,0.0759493670886076,0.012658227848101266,0.0759493670886076,0.06329113924050633,0.12658227848101267,0.012658227848101266,0.10126582278481013,0.0,0.02531645569620253,0.0,0.0,0.0379746835443038,0.08860759493670886,0.012658227848101266,0.0,0.11392405063291139,0.0759493670886076,0.11392405063291139,0.0,0.189873417721519,0.13924050632911392,0.11392405063291139,0.5569620253164557,299.52040396418465,620.55,0.35,2.01,59.23,0.17,12.49,7.05,3.65,0.7,0.4565051990869984
2016-04-01,58232.67326732673,50778.81188118812,1983.2178217821781,211.85247524752475,1346.3485148514853,1.0,0.019801980198019802,0.009900990099009901,0.0,0.0297029702970297,0.009900990099009901,0.019801980198019802,0.0594059405940594,0.13861386138613863,0.1188118811881188,0.0297029702970297,0.09900990099009901,0.0297029702970297,0.0,0.0,0.0,0.0891089108910891,0.07920792079207921,0.04950495049504951,0.0,0.0891089108910891,0.0594059405940594,0.06930693069306931,0.0,0.1485148514851485,0.21782178217821782,0.06930693069306931,0.5643564356435643,283.99905890862124,692.62,0.32,1.79,58.63,0.14,12.24,7.05,3.65,0.7,0.1009845998485081
2016-05-01,56729.51807228916,49661.44578313253,1981.3614457831325,203.6289156626506,1556.3530120481928,1.0,0.04819277108433735,0.0,0.012048192771084338,0.012048192771084338,0.012048192771084338,0.0,0.0963855421686747,0.07228915662650602,0.060240963855421686,0.024096385542168676,0.10843373493975904,0.04819277108433735,0.04819277108433735,0.0,0.0,0.12048192771084337,0.07228915662650602,0.024096385542168676,0.0,0.0963855421686747,0.0963855421686747,0.04819277108433735,0.0,0.1927710843373494,0.21686746987951808,0.04819277108433735,0.5421686746987951,286.091956569809,576.61,0.3,2.13,58.62888888888889,0.1388888888888889,12.246666666666666,7.05,3.65,1.2,0.3278688524590123
2016-06-01,58949.46808510638,51442.55319148936,1982.1808510638298,211.8340425531915,1230.9882978723404,1.0,0.02127659574468085,0.0,0.0,0.031914893617021274,0.031914893617021274,0.0,0.06382978723404255,0.11702127659574468,0.06382978723404255,0.02127659574468085,0.06382978723404255,0.05319148936170213,0.0,0.0,0.0,0.13829787234042554,0.02127659574468085,0.0425531914893617,0.0,0.10638297872340426,0.09574468085106383,0.1276595744680851,0.0,0.20212765957446807,0.20212765957446807,0.1276595744680851,0.46808510638297873,285.90498647873716,645.8,0.29,1.96,58.62777777777778,0.13777777777777778,12.253333333333334,7.05,3.65,2.2,0.1005530417295119
2016-07-01,58234.61538461538,49912.820512820515,1984.820512820513,200.0179487179487,1629.1948717948717,1.0,0.038461538461538464,0.0,0.0,0.01282051282051282,0.02564102564102564,0.02564102564102564,0.038461538461538464,0.0641025641025641,0.07692307692307693,0.038461538461538464,0.0641025641025641,0.01282051282051282,0.02564102564102564,0.0,0.0,0.08974358974358974,0.038461538461538464,0.0641025641025641,0.0,0.1282051282051282,0.1282051282051282,0.1282051282051282,0.0,0.2564102564102564,0.19230769230769232,0.1282051282051282,0.4230769230769231,300.56111133906546,623.05,0.27,2.03,58.626666666666665,0.1366666666666667,12.26,7.05,3.65,2.2,-0.5524861878453025
2016-08-01,56970.769230769234,47621.83076923077,1976.9076923076923,198.57076923076923,1113.143076923077,1.0,0.03076923076923077,0.015384615384615385,0.0,0.015384615384615385,0.015384615384615385,0.0,0.06153846153846154,0.12307692307692308,0.046153846153846156,0.015384615384615385,0.12307692307692308,0.0,0.015384615384615385,0.0,0.0,0.09230769230769231,0.015384615384615385,0.0,0.0,0.2153846153846154,0.12307692307692308,0.09230769230769231,0.0,0.3384615384615385,0.1076923076923077,0.09230769230769231,0.46153846153846156,306.03656235870227,581.81,0.25,2.02,58.62555555555556,0.13555555555555557,12.266666666666667,7.05,3.65,0.9,0.1262626262626298
2016-09-01,59529.28571428572,49054.28571428572,1978.5857142857142,196.30285714285716,1502.1771428571428,1.0,0.02857142857142857,0.0,0.02857142857142857,0.0,0.014285714285714285,0.0,0.11428571428571428,0.05714285714285714,0.08571428571428572,0.02857142857142857,0.08571428571428572,0.05714285714285714,0.0,0.0,0.0,0.14285714285714285,0.07142857142857142,0.02857142857142857,0.0,0.12857142857142856,0.014285714285714285,0.11428571428571428,0.0,0.14285714285714285,0.24285714285714285,0.11428571428571428,0.5,309.2723343026494,663.44,0.26,1.67,58.62444444444444,0.13444444444444445,12.273333333333333,7.05,3.65,0.3,-0.1008827238335396
2016-10-01,59563.85542168675,49395.78313253012,1977.5060240963855,193.60843373493975,1712.232530120482,1.0,0.060240963855421686,0.024096385542168676,0.024096385542168676,0.0,0.024096385542168676,0.024096385542168676,0.07228915662650602,0.08433734939759036,0.10843373493975904,0.03614457831325301,0.10843373493975904,0.0,0.0,0.0,0.0,0.13253012048192772,0.03614457831325301,0.0,0.0,0.0963855421686747,0.060240963855421686,0.10843373493975904,0.0,0.1566265060240964,0.1686746987951807,0.10843373493975904,0.5662650602409639,320.4599484333643,598.51,0.23,1.79,58.623333333333335,0.13333333333333333,12.280000000000001,6.55,3.65,2.0,-0.2777076495834474
2016-11-01,59882.07777777778,46946.444444444445,1979.7555555555555,190.96666666666667,1131.3722222222223,1.0,0.044444444444444446,0.022222222222222223,0.0,0.022222222222222223,0.03333333333333333,0.044444444444444446,0.07777777777777778,0.05555555555555555,0.0,0.044444444444444446,0.05555555555555555,0.011111111111111112,0.0,0.0,0.0,0.15555555555555556,0.044444444444444446,0.022222222222222223,0.0,0.1,0.12222222222222222,0.14444444444444443,0.0,0.2222222222222222,0.2222222222222222,0.14444444444444443,0.4111111111111111,329.3519918006022,659.31,0.22,1.43,58.62222222222222,0.13222222222222224,12.286666666666667,6.55,3.65,1.4,-0.4050632911392515
2016-12-01,64248.39743589744,52225.60256410256,1982.7307692307693,213.69102564102565,1579.246153846154,1.0,0.01282051282051282,0.0,0.01282051282051282,0.0641025641025641,0.0,0.0,0.10256410256410256,0.0641025641025641,0.0641025641025641,0.0,0.11538461538461539,0.02564102564102564,0.01282051282051282,0.0,0.0,0.10256410256410256,0.0,0.05128205128205128,0.0,0.15384615384615385,0.11538461538461539,0.10256410256410256,0.0,0.2692307692307692,0.15384615384615385,0.10256410256410256,0.47435897435897434,309.10489645499246,602.07,0.21,1.47,58.62111111111111,0.13111111111111112,12.293333333333335,6.55,3.65,1.5,-0.1779359430604921
