utgdag,kaupverd,fasteignamat,einflm,lod_flm,fmverd,yfirverd,count
2010-06-01,44750.882352941175,41675.294117647056,207.95294117647055,2813.3176470588237,218.4867411417131,0.08111533810120457,17
2010-07-01,33173.86363636364,35770.454545454544,174.59545454545454,832.1136363636364,204.20431933142416,-0.05943277220042222,22
2010-08-01,42822.72727272727,42227.27272727273,196.66060606060597,2059.978787878788,218.31179250010263,-0.00320983961673479,33
2010-09-01,43633.333333333336,42347.619047619046,216.77142857142857,882.7666666666667,206.53052119606687,0.0255968516724085,21
2010-10-01,41777.5,39760.9375,192.584375,1195.68125,221.88617728314975,0.052417945705850934,32
2010-11-01,41310.0,39703.333333333336,191.08333333333334,1112.26,222.9355104715834,0.036586765505947964,30
2010-12-01,44181.48148148148,41407.40740740741,219.52222222222227,2538.859259259259,205.15301578959102,0.06245343886508464,27
2011-01-01,40965.0,37241.666666666664,196.98999999999998,1895.0600000000002,215.05374696941823,0.12211182519456981,30
2011-02-01,44350.857142857145,36083.80952380953,206.5238095238095,1787.4571428571428,210.80516305090242,0.4397785014635591,21
2011-03-01,40448.57142857143,33481.42857142857,197.2514285714286,1028.4885714285715,207.4918078705532,0.20272411649331712,35
2011-04-01,41401.52272727273,35063.068181818184,197.98181818181817,1542.2954545454545,213.91293034520584,0.18108850471326596,44
2011-05-01,41202.857142857145,35628.57142857143,200.43142857142857,1432.6542857142856,211.73017715211716,0.1667614792121479,35
2011-06-01,50223.92156862745,36896.07843137255,214.10980392156867,1101.8333333333333,235.09907417955256,0.43798658914504107,51
2011-07-01,41929.97368421053,35309.73684210526,201.71315789473687,987.2921052631579,216.86853579373894,0.19590008867119044,38
2011-08-01,43645.37037037037,33827.96296296296,199.5444444444444,1280.3833333333334,225.0778822661844,0.43381842001947685,54
2011-09-01,44377.5,34751.92307692308,188.2057692307693,1318.7076923076925,238.41738664203092,0.2677873862104287,52
2011-10-01,46070.625,34311.25,205.2916666666667,853.4437499999999,227.32599908379885,0.5646111255168972,48
2011-11-01,45653.425531914894,37088.29787234042,203.9936170212766,1715.3765957446808,227.76099240207216,0.2291438111716104,47
2011-12-01,47890.74074074074,37023.148148148146,205.1796296296296,2443.253703703704,233.1215593752287,0.3152384380462045,54
2012-01-01,43718.08108108108,36041.89189189189,193.6216216216216,1077.535135135135,231.47109247559752,0.22687335611736825,37
2012-02-01,44956.692307692305,39337.179487179485,208.29487179487177,1232.1230769230767,219.07689187764473,0.13306927826953224,39
2012-03-01,42137.875,37292.5,194.88125000000002,1148.9604166666668,221.05255325131574,0.13312315007316353,48
2012-04-01,47588.67441860465,40679.06976744186,205.74418604651166,1385.8302325581394,239.07957826893616,0.21950774106487517,43
2012-05-01,42834.086956521736,36253.913043478264,190.05652173913052,1218.7,228.72098417629047,0.28352717234812946,46
2012-06-01,44563.37313432836,39066.86567164179,197.77611940298507,1297.0358208955224,231.99167438838484,0.12787014029642407,67
2012-07-01,48594.29508196721,39926.39344262295,196.61147540983606,1466.0442622950823,254.4384826526419,0.22018130727500737,61
2012-08-01,47726.041666666664,39650.0,197.64374999999995,1869.9395833333338,241.32427944051324,0.19704040994321326,48
2012-09-01,48234.67924528302,39239.622641509435,208.71320754716984,1039.6075471698114,235.6794634884991,0.23978707562560664,53
2012-10-01,47318.181818181816,38193.40909090909,203.88409090909093,953.4454545454545,235.2156143538624,0.5234185545519467,44
2012-11-01,44496.6301369863,36855.75342465754,185.03013698630133,1665.660273972603,244.26975016393732,0.30850962299750684,73
2012-12-01,45300.78125,38014.21875,197.62499999999997,1582.8671875,236.729694742339,0.30864155821963835,64
2013-01-01,48301.19047619047,42582.142857142855,200.96190476190475,1879.3023809523809,242.1347973102027,0.14136864570731603,42
2013-02-01,47313.555555555555,42888.666666666664,201.97333333333327,1808.3955555555556,239.13775124292937,0.20103884361089996,45
2013-03-01,47589.056603773584,44278.301886792455,196.43018867924525,1419.498113207547,246.84134416754696,0.07973422036494272,53
2013-04-01,52480.46875,46458.59375,218.58281250000002,1606.05625,242.49895704111287,0.16058141027395012,64
2013-05-01,47376.26315789474,42855.61403508772,195.48070175438596,1178.142105263158,242.33100066553936,0.29299801445108203,57
2013-06-01,48544.69696969697,44012.878787878784,202.34848484848484,1673.6742424242425,247.4174047730188,0.1135731749202742,66
2013-07-01,50739.75,42161.805555555555,195.92638888888894,1935.9166666666667,260.22598140425043,0.18958413413662997,72
2013-08-01,46537.013333333336,42481.333333333336,188.96266666666662,1988.9306666666664,254.33197432586098,0.1005687312409081,75
2013-09-01,44622.558139534885,39151.395348837206,187.63488372093025,1055.679069767442,247.61996838093745,0.157670500311339,43
2013-10-01,45976.234375,39872.96875,200.91250000000008,1606.4109375,237.47195063312802,0.22282157053274798,64
2013-11-01,52298.245614035084,45890.350877192985,209.77719298245603,1600.5017543859651,255.78519125688825,0.1955390713543797,57
2013-12-01,47327.65957446808,42766.382978723406,196.1531914893617,1199.204255319149,246.2988046575357,0.12333733814864772,47
2014-01-01,46804.032258064515,42251.01612903226,196.56129032258067,1607.5693548387096,244.63471092909708,0.12771664539667366,62
2014-02-01,50006.944444444445,44433.055555555555,192.12777777777774,1593.1055555555554,264.81067100436616,0.24653648492559638,36
2014-03-01,51192.264150943396,44111.32075471698,195.40377358490568,1636.4396226415095,264.0886845566477,0.15993398142752563,53
2014-04-01,50870.73170731707,44344.51219512195,198.53658536585365,1277.720731707317,262.71384972395253,0.15873798634025213,82
2014-05-01,52127.515625,46482.8125,205.84218749999997,1123.121875,259.0483778994231,0.1270003848157014,64
2014-06-01,48947.87951807229,42946.98795180723,192.00120481927712,1041.5819277108435,263.3286895616861,0.15665653355668105,83
2014-07-01,49397.333333333336,43175.333333333336,198.088,1711.5813333333333,255.34222486146896,0.16035460920216457,75
2014-08-01,48659.475,41732.75,192.94125000000003,1403.9612500000003,259.24698398522924,0.274018181907184,80
2014-09-01,50478.333333333336,45726.666666666664,204.5466666666667,1713.6583333333333,252.1696032296822,0.1175839128522531,60
2014-10-01,50661.290322580644,44148.709677419356,194.08387096774192,915.7290322580645,265.51445032305145,0.23910289904200227,62
2014-11-01,53101.40845070423,45769.01408450704,206.6760563380282,1545.0197183098592,261.3120423421284,0.17264216357904896,71
2014-12-01,49362.50724637681,42791.30434782609,192.70434782608694,1829.330434782609,267.0276425107406,0.17253546264657244,69
2015-01-01,56602.67857142857,46803.57142857143,203.03392857142867,1316.6089285714286,288.551797495903,0.27579703483903284,56
2015-02-01,54143.055555555555,48244.444444444445,205.46111111111114,1485.9805555555556,271.30978242758715,0.13662709628232533,36
2015-03-01,53509.84848484849,46497.72727272727,201.97121212121218,875.7000000000002,268.43460229677027,0.14192538887996298,66
2015-04-01,51108.5,46469.15094339623,195.02735849056614,1936.772641509434,268.5917769609933,0.10769828991920703,106
2015-05-01,52852.439024390245,46509.634146341465,200.01463414634148,1315.6012195121948,274.3707875751744,0.24348952729053988,82
2015-06-01,53602.1978021978,47153.18681318681,203.70219780219784,1370.5153846153846,275.05181003642105,0.22068865518076416,91
2015-07-01,54116.74528301887,47045.28301886792,203.76981132075466,1901.804716981132,271.4608295143356,0.2686253701728929,106
2015-08-01,55082.989690721646,47084.43298969072,209.79278350515457,1473.722680412371,267.21239163083766,0.29288055706011007,97
2015-09-01,51977.63888888889,44956.944444444445,201.22916666666663,1408.775,272.08831849618423,0.1697425616967365,72
2015-10-01,56794.705882352944,50827.05882352941,209.41176470588232,1161.7305882352941,280.14691153748333,0.1401425302367492,85
2015-11-01,58212.37113402062,49900.927835051545,212.44226804123713,1212.426804123711,279.350227018135,0.3047831582790123,97
2015-12-01,53204.545454545456,45857.77777777778,205.98686868686858,1261.90303030303,269.0186037262026,0.311542700072065,99
2016-01-01,54578.06122448979,47885.0,198.15408163265312,1614.0755102040816,288.64244147977547,0.47085808159996634,98
