,Period,NoOfProperties,postnumer
24253,201808,2,104.0
24254,201808,3,105.0
24255,201808,2,107.0
24256,201808,2,108.0
24257,201808,3,109.0
24258,201808,1,110.0
24259,201808,1,112.0
24260,201808,1,170.0
24261,201808,1,200.0
24262,201808,2,201.0
24263,201808,1,203.0
24264,201808,5,220.0
24267,201808,1,270.0
24298,201808,2,105.0
24299,201808,2,108.0
24300,201808,1,111.0
24301,201808,2,112.0
24302,201808,1,170.0
24303,201808,1,200.0
24304,201808,1,270.0
24321,201808,2,101.0
24322,201808,1,111.0
24328,201808,1,108.0
24329,201808,1,220.0
24337,201808,1,105.0
24341,201808,1,108.0
24342,201808,66,101.0
24343,201808,4,105.0
24344,201808,11,108.0
24345,201808,2,109.0
24346,201808,1,200.0
24347,201808,1,203.0
24348,201808,12,220.0
24351,201808,1,270.0
24377,201809,71,101.0
24378,201809,2,102.0
24379,201809,1,103.0
24380,201809,18,104.0
24381,201809,40,105.0
24382,201809,11,107.0
24383,201809,7,108.0
24384,201809,5,109.0
24385,201809,5,110.0
24386,201809,4,111.0
24387,201809,5,112.0
24388,201809,2,113.0
24389,201809,2,162.0
24390,201809,5,170.0
24392,201809,8,200.0
24393,201809,1,201.0
24394,201809,2,203.0
24395,201809,10,210.0
24396,201809,4,220.0
24397,201809,2,221.0
24401,201809,3,270.0
24402,201809,2,271.0
24403,201809,2,276.0
24458,201809,550,101.0
24459,201809,7,102.0
24460,201809,4,103.0
24461,201809,52,104.0
24462,201809,196,105.0
24463,201809,58,107.0
24464,201809,42,108.0
24465,201809,14,109.0
24466,201809,35,110.0
24467,201809,9,111.0
24468,201809,13,112.0
24469,201809,8,113.0
24470,201809,1,116.0
24471,201809,1,162.0
24472,201809,20,170.0
24474,201809,40,200.0
24475,201809,6,201.0
24476,201809,12,203.0
24477,201809,1,206.0
24478,201809,13,210.0
24479,201809,36,220.0
24480,201809,10,221.0
24481,201809,2,225.0
24489,201809,14,270.0
24490,201809,2,271.0
24491,201809,5,276.0
24578,201809,426,101.0
24579,201809,6,102.0
24580,201809,4,103.0
24581,201809,52,104.0
24582,201809,146,105.0
24583,201809,48,107.0
24584,201809,31,108.0
24585,201809,8,109.0
24586,201809,34,110.0
24587,201809,7,111.0
24588,201809,18,112.0
24589,201809,11,113.0
24590,201809,2,161.0
24591,201809,3,162.0
24592,201809,8,170.0
24594,201809,43,200.0
24595,201809,8,201.0
24596,201809,13,203.0
24597,201809,1,206.0
24598,201809,21,210.0
24599,201809,32,220.0
24600,201809,23,221.0
24601,201809,2,225.0
24606,201809,15,270.0
24607,201809,9,271.0
24608,201809,17,276.0
24703,201809,118,101.0
24704,201809,5,102.0
24705,201809,1,103.0
24706,201809,23,104.0
24707,201809,65,105.0
24708,201809,20,107.0
24709,201809,23,108.0
24710,201809,6,109.0
24711,201809,12,110.0
24712,201809,3,111.0
24713,201809,17,112.0
24714,201809,5,113.0
24715,201809,1,161.0
24716,201809,2,162.0
24717,201809,11,170.0
24720,201809,21,200.0
24721,201809,11,201.0
24722,201809,14,203.0
24723,201809,20,210.0
24724,201809,11,220.0
24725,201809,9,221.0
24726,201809,4,225.0
24735,201809,10,270.0
24736,201809,7,271.0
24737,201809,17,276.0
24824,201809,36,101.0
24825,201809,2,102.0
24826,201809,9,104.0
24827,201809,17,105.0
24828,201809,4,107.0
24829,201809,9,108.0
24830,201809,3,109.0
24831,201809,7,110.0
24832,201809,2,111.0
24833,201809,11,112.0
24834,201809,10,113.0
24835,201809,6,170.0
24837,201809,11,200.0
24838,201809,7,201.0
24839,201809,5,203.0
24840,201809,3,210.0
24841,201809,5,220.0
24842,201809,6,221.0
24843,201809,1,225.0
24848,201809,7,270.0
24849,201809,6,276.0
24909,201809,20,101.0
24910,201809,1,104.0
24911,201809,4,105.0
24912,201809,1,107.0
24913,201809,3,108.0
24914,201809,2,110.0
24915,201809,2,112.0
24916,201809,1,113.0
24917,201809,1,170.0
24918,201809,3,200.0
24919,201809,5,210.0
24920,201809,4,221.0
24921,201809,1,270.0
24957,201809,5,101.0
24958,201809,1,105.0
24959,201809,1,108.0
24960,201809,2,112.0
24961,201809,1,203.0
24962,201809,1,210.0
24963,201809,4,220.0
24964,201809,1,221.0
24975,201809,1,105.0
24976,201809,1,201.0
24977,201809,2,206.0
24981,201809,1,101.0
24982,201809,1,105.0
24990,201809,1,101.0
24995,201809,1,105.0
24999,201809,4,200.0
25000,201809,2,203.0
25002,201809,23,101.0
25003,201809,13,108.0
25004,201809,1,110.0
25005,201809,4,170.0
25006,201809,4,203.0
25007,201809,10,220.0
25008,201809,1,225.0
25010,201809,1,270.0
25037,201809,1,170.0
25044,201809,1,170.0
25049,201809,1,200.0
25050,201809,5,101.0
25051,201809,2,102.0
25052,201809,1,103.0
25053,201809,1,104.0
25054,201809,4,105.0
25055,201809,1,107.0
25056,201809,3,108.0
25057,201809,2,200.0
25058,201809,1,203.0
25059,201809,2,220.0
25080,201809,235,101.0
25081,201809,4,103.0
25082,201809,38,104.0
25083,201809,170,105.0
25084,201809,38,107.0
25085,201809,45,108.0
25086,201809,26,109.0
25087,201809,16,110.0
25088,201809,20,111.0
25089,201809,11,112.0
25090,201809,8,113.0
25091,201809,1,116.0
25092,201809,6,162.0
25093,201809,7,170.0
25095,201809,37,200.0
25096,201809,10,201.0
25097,201809,5,203.0
25098,201809,1,206.0
25099,201809,9,210.0
25100,201809,58,220.0
25101,201809,6,221.0
25102,201809,2,225.0
25111,201809,11,270.0
25112,201809,8,271.0
25113,201809,5,276.0
25215,201809,10,101.0
25216,201809,2,104.0
25217,201809,3,105.0
25218,201809,1,107.0
25219,201809,1,108.0
25220,201809,2,109.0
25221,201809,1,112.0
25222,201809,1,170.0
25223,201809,1,200.0
25224,201809,1,201.0
25225,201809,1,203.0
25226,201809,1,210.0
25227,201809,5,220.0
25231,201809,2,270.0
25257,201809,2,105.0
25258,201809,1,108.0
25259,201809,1,111.0
25260,201809,2,112.0
25261,201809,1,170.0
25262,201809,1,200.0
25263,201809,1,270.0
25281,201809,3,101.0
25282,201809,1,111.0
25287,201809,1,108.0
25288,201809,1,220.0
25299,201809,1,108.0
25301,201809,65,101.0
25302,201809,10,105.0
25303,201809,11,108.0
25304,201809,2,109.0
25305,201809,1,111.0
25306,201809,1,200.0
25307,201809,1,203.0
25308,201809,12,220.0
25311,201809,1,270.0
25336,201810,66,101.0
25337,201810,2,102.0
25338,201810,15,104.0
25339,201810,42,105.0
25340,201810,11,107.0
25341,201810,6,108.0
25342,201810,4,109.0
25343,201810,4,110.0
25344,201810,3,111.0
25345,201810,5,112.0
25346,201810,4,113.0
25347,201810,2,162.0
25348,201810,6,170.0
25350,201810,8,200.0
25351,201810,1,201.0
25352,201810,2,203.0
25353,201810,7,210.0
25354,201810,4,220.0
25355,201810,2,221.0
25359,201810,4,270.0
25360,201810,2,271.0
25361,201810,2,276.0
25413,201810,504,101.0
25414,201810,4,102.0
25415,201810,4,103.0
25416,201810,46,104.0
25417,201810,189,105.0
25418,201810,55,107.0
25419,201810,31,108.0
25420,201810,15,109.0
25421,201810,30,110.0
25422,201810,6,111.0
25423,201810,9,112.0
25424,201810,7,113.0
25425,201810,1,116.0
25426,201810,15,170.0
25428,201810,37,200.0
25429,201810,6,201.0
25430,201810,10,203.0
25431,201810,1,206.0
25432,201810,16,210.0
25433,201810,35,220.0
25434,201810,8,221.0
25435,201810,1,225.0
25442,201810,11,270.0
25443,201810,4,271.0
25444,201810,4,276.0
25523,201810,369,101.0
25524,201810,3,102.0
25525,201810,4,103.0
25526,201810,42,104.0
25527,201810,132,105.0
25528,201810,43,107.0
25529,201810,32,108.0
25530,201810,10,109.0
25531,201810,24,110.0
25532,201810,9,111.0
25533,201810,15,112.0
25534,201810,8,113.0
25535,201810,2,161.0
25536,201810,2,162.0
25537,201810,9,170.0
25538,201810,41,200.0
25539,201810,8,201.0
25540,201810,13,203.0
25541,201810,21,210.0
25542,201810,28,220.0
25543,201810,18,221.0
25544,201810,2,225.0
25549,201810,9,270.0
25550,201810,7,271.0
25551,201810,14,276.0
25644,201810,112,101.0
25645,201810,4,102.0
25646,201810,16,104.0
25647,201810,56,105.0
25648,201810,18,107.0
25649,201810,18,108.0
25650,201810,7,109.0
25651,201810,10,110.0
25652,201810,2,111.0
25653,201810,13,112.0
25654,201810,5,113.0
25655,201810,1,116.0
25656,201810,1,161.0
25657,201810,2,162.0
25658,201810,11,170.0
25661,201810,22,200.0
25662,201810,12,201.0
25663,201810,16,203.0
25664,201810,16,210.0
25665,201810,13,220.0
25666,201810,8,221.0
25667,201810,3,225.0
25675,201810,14,270.0
25676,201810,8,271.0
25677,201810,18,276.0
25761,201810,30,101.0
25762,201810,2,102.0
25763,201810,6,104.0
25764,201810,14,105.0
25765,201810,3,107.0
25766,201810,10,108.0
25767,201810,4,109.0
25768,201810,8,110.0
25769,201810,1,111.0
25770,201810,13,112.0
25771,201810,7,113.0
25772,201810,8,170.0
25774,201810,12,200.0
25775,201810,6,201.0
25776,201810,6,203.0
25777,201810,6,210.0
25778,201810,6,220.0
25779,201810,9,221.0
25780,201810,5,225.0
25784,201810,8,270.0
25785,201810,6,276.0
25842,201810,19,101.0
25843,201810,2,104.0
25844,201810,4,105.0
25845,201810,2,107.0
25846,201810,3,108.0
25847,201810,3,110.0
25848,201810,3,112.0
25849,201810,3,113.0
25850,201810,2,170.0
25851,201810,3,200.0
25852,201810,5,210.0
25853,201810,1,220.0
25854,201810,4,221.0
25855,201810,2,270.0
25856,201810,1,276.0
25889,201810,6,101.0
25890,201810,1,105.0
25891,201810,1,112.0
25892,201810,1,210.0
25893,201810,4,220.0
25894,201810,1,221.0
25905,201810,1,105.0
25906,201810,1,201.0
25907,201810,2,206.0
25911,201810,1,101.0
25912,201810,1,105.0
25919,201810,1,101.0
25927,201810,1,276.0
25928,201810,4,200.0
25929,201810,2,203.0
25931,201810,23,101.0
25932,201810,14,108.0
25933,201810,1,110.0
25934,201810,4,170.0
25935,201810,5,203.0
25936,201810,10,220.0
25937,201810,1,225.0
25939,201810,1,270.0
25964,201810,1,170.0
25971,201810,1,170.0
25976,201810,1,200.0
25977,201810,6,101.0
25978,201810,1,102.0
25979,201810,1,104.0
25980,201810,2,105.0
25981,201810,1,107.0
25982,201810,2,108.0
25983,201810,3,200.0
25984,201810,1,203.0
25985,201810,2,220.0
26004,201810,221,101.0
26005,201810,1,102.0
26006,201810,5,103.0
26007,201810,24,104.0
26008,201810,145,105.0
26009,201810,36,107.0
26010,201810,44,108.0
26011,201810,23,109.0
26012,201810,16,110.0
26013,201810,21,111.0
26014,201810,7,112.0
26015,201810,7,113.0
26016,201810,1,116.0
26017,201810,5,162.0
26018,201810,6,170.0
26020,201810,31,200.0
26021,201810,12,201.0
26022,201810,4,203.0
26023,201810,11,210.0
26024,201810,54,220.0
26025,201810,6,221.0
26026,201810,2,225.0
26035,201810,9,270.0
26036,201810,5,271.0
26037,201810,2,276.0
26138,201810,9,101.0
26139,201810,2,104.0
26140,201810,3,105.0
26141,201810,1,107.0
26142,201810,1,108.0
26143,201810,2,109.0
26144,201810,2,112.0
26145,201810,1,170.0
26146,201810,1,200.0
26147,201810,1,201.0
26148,201810,1,203.0
26149,201810,3,220.0
26152,201810,2,270.0
26179,201810,1,104.0
26180,201810,2,105.0
26181,201810,2,108.0
26182,201810,1,111.0
26183,201810,1,170.0
26184,201810,1,200.0
26185,201810,1,270.0
26203,201810,2,101.0
26204,201810,1,111.0
26207,201810,1,108.0
26214,201810,1,108.0
26216,201810,58,101.0
26217,201810,10,105.0
26218,201810,11,108.0
26219,201810,2,109.0
26220,201810,1,111.0
26221,201810,1,203.0
26222,201810,11,220.0
26244,201811,97,101.0
26245,201811,2,102.0
26246,201811,1,103.0
26247,201811,12,104.0
26248,201811,43,105.0
26249,201811,11,107.0
26250,201811,9,108.0
26251,201811,6,109.0
26252,201811,4,110.0
26253,201811,3,111.0
26254,201811,5,112.0
26255,201811,2,113.0
26256,201811,2,162.0
26257,201811,4,170.0
26259,201811,6,200.0
26260,201811,2,201.0
26261,201811,1,203.0
26262,201811,7,210.0
26263,201811,6,220.0
26264,201811,1,221.0
26269,201811,3,270.0
26270,201811,2,271.0
26271,201811,2,276.0
26331,201811,493,101.0
26332,201811,6,102.0
26333,201811,4,103.0
26334,201811,42,104.0
26335,201811,170,105.0
26336,201811,52,107.0
26337,201811,30,108.0
26338,201811,15,109.0
26339,201811,28,110.0
26340,201811,6,111.0
26341,201811,10,112.0
26342,201811,6,113.0
26343,201811,1,116.0
26344,201811,12,170.0
26346,201811,31,200.0
26347,201811,6,201.0
26348,201811,10,203.0
26349,201811,1,206.0
26350,201811,11,210.0
26351,201811,34,220.0
26352,201811,8,221.0
26358,201811,10,270.0
26359,201811,4,271.0
26360,201811,3,276.0
26439,201811,365,101.0
26440,201811,3,102.0
26441,201811,4,103.0
26442,201811,34,104.0
26443,201811,121,105.0
26444,201811,44,107.0
26445,201811,26,108.0
26446,201811,9,109.0
26447,201811,25,110.0
26448,201811,6,111.0
26449,201811,11,112.0
26450,201811,8,113.0
26451,201811,2,161.0
26452,201811,1,162.0
26453,201811,7,170.0
26454,201811,42,200.0
26455,201811,5,201.0
26456,201811,14,203.0
26457,201811,17,210.0
26458,201811,22,220.0
26459,201811,16,221.0
26460,201811,4,225.0
26465,201811,10,270.0
26466,201811,5,271.0
26467,201811,13,276.0
26552,201811,97,101.0
26553,201811,5,102.0
26554,201811,15,104.0
26555,201811,59,105.0
26556,201811,13,107.0
26557,201811,18,108.0
26558,201811,5,109.0
26559,201811,9,110.0
26560,201811,2,111.0
26561,201811,10,112.0
26562,201811,5,113.0
26563,201811,1,161.0
26564,201811,2,162.0
26565,201811,8,170.0
26568,201811,17,200.0
26569,201811,11,201.0
26570,201811,12,203.0
26571,201811,15,210.0
26572,201811,9,220.0
26573,201811,10,221.0
26574,201811,1,225.0
26580,201811,13,270.0
26581,201811,6,271.0
26582,201811,18,276.0
26661,201811,34,101.0
26662,201811,3,102.0
26663,201811,7,104.0
26664,201811,11,105.0
26665,201811,2,107.0
26666,201811,7,108.0
26667,201811,2,109.0
26668,201811,4,110.0
26669,201811,1,111.0
26670,201811,8,112.0
26671,201811,7,113.0
26672,201811,5,170.0
26674,201811,11,200.0
26675,201811,5,201.0
26676,201811,5,203.0
26677,201811,4,210.0
26678,201811,5,220.0
26679,201811,4,221.0
26680,201811,2,225.0
26682,201811,5,270.0
26683,201811,7,276.0
26740,201811,17,101.0
26741,201811,1,104.0
26742,201811,3,105.0
26743,201811,1,107.0
26744,201811,2,108.0
26745,201811,2,110.0
26746,201811,2,112.0
26747,201811,1,113.0
26748,201811,1,170.0
26749,201811,2,200.0
26750,201811,6,210.0
26751,201811,1,220.0
26752,201811,4,221.0
26754,201811,1,270.0
26785,201811,4,101.0
26786,201811,1,105.0
26787,201811,1,108.0
26788,201811,2,112.0
26789,201811,1,210.0
26790,201811,4,220.0
26791,201811,1,221.0
26801,201811,1,105.0
26802,201811,1,201.0
26803,201811,2,206.0
26807,201811,1,101.0
26815,201811,1,101.0
26823,201811,1,276.0
26824,201811,4,200.0
26825,201811,2,203.0
26827,201811,23,101.0
26828,201811,14,108.0
26829,201811,1,110.0
26830,201811,4,170.0
26831,201811,5,203.0
26832,201811,10,220.0
26833,201811,1,225.0
26835,201811,1,270.0
26861,201811,1,170.0
26868,201811,1,170.0
26873,201811,1,200.0
26874,201811,5,101.0
26875,201811,2,102.0
26876,201811,2,105.0
26877,201811,1,108.0
26878,201811,3,200.0
26879,201811,1,203.0
26880,201811,2,220.0
26897,201811,217,101.0
26898,201811,1,102.0
26899,201811,5,103.0
26900,201811,27,104.0
26901,201811,135,105.0
26902,201811,28,107.0
26903,201811,38,108.0
26904,201811,20,109.0
26905,201811,13,110.0
26906,201811,16,111.0
26907,201811,10,112.0
26908,201811,6,113.0
26909,201811,1,116.0
26910,201811,5,162.0
26911,201811,7,170.0
26913,201811,29,200.0
26914,201811,11,201.0
26915,201811,3,203.0
26916,201811,12,210.0
26917,201811,46,220.0
26918,201811,4,221.0
26919,201811,2,225.0
26928,201811,9,270.0
26929,201811,8,271.0
26930,201811,1,276.0
27023,201811,8,101.0
27024,201811,2,104.0
27025,201811,4,105.0
27026,201811,1,107.0
27027,201811,1,108.0
27028,201811,2,109.0
27029,201811,2,112.0
27030,201811,1,170.0
27031,201811,1,200.0
27032,201811,1,201.0
27033,201811,1,203.0
27034,201811,1,210.0
27035,201811,3,220.0
27038,201811,2,270.0
27063,201811,1,105.0
27064,201811,1,108.0
27065,201811,1,111.0
27066,201811,1,170.0
27067,201811,1,270.0
27085,201811,2,101.0
27086,201811,1,111.0
27088,201811,1,108.0
27096,201811,1,108.0
27099,201811,33,101.0
27100,201811,10,105.0
27101,201811,11,108.0
27102,201811,2,109.0
27103,201811,1,111.0
27104,201811,1,203.0
27105,201811,11,220.0
27108,201811,1,270.0
27124,201812,107,101.0
27125,201812,2,102.0
27126,201812,1,103.0
27127,201812,9,104.0
27128,201812,45,105.0
27129,201812,11,107.0
27130,201812,12,108.0
27131,201812,2,109.0
27132,201812,4,110.0
27133,201812,2,111.0
27134,201812,4,112.0
27135,201812,3,113.0
27136,201812,1,161.0
27137,201812,2,162.0
27138,201812,4,170.0
27140,201812,5,200.0
27141,201812,2,201.0
27142,201812,2,203.0
27143,201812,7,210.0
27144,201812,8,220.0
27145,201812,2,221.0
27152,201812,3,270.0
27153,201812,1,271.0
27154,201812,2,276.0
27215,201812,536,101.0
27216,201812,6,102.0
27217,201812,5,103.0
27218,201812,40,104.0
27219,201812,186,105.0
27220,201812,63,107.0
27221,201812,38,108.0
27222,201812,17,109.0
27223,201812,34,110.0
27224,201812,8,111.0
27225,201812,12,112.0
27226,201812,8,113.0
27227,201812,1,116.0
27228,201812,19,170.0
27230,201812,37,200.0
27231,201812,7,201.0
27232,201812,12,203.0
27233,201812,1,206.0
27234,201812,16,210.0
27235,201812,34,220.0
27236,201812,9,221.0
27242,201812,14,270.0
27243,201812,3,271.0
27244,201812,4,276.0
27321,201812,416,101.0
27322,201812,5,102.0
27323,201812,6,103.0
27324,201812,42,104.0
27325,201812,148,105.0
27326,201812,68,107.0
27327,201812,31,108.0
27328,201812,8,109.0
27329,201812,32,110.0
27330,201812,8,111.0
27331,201812,19,112.0
27332,201812,10,113.0
27333,201812,2,161.0
27334,201812,1,162.0
27335,201812,12,170.0
27336,201812,46,200.0
27337,201812,10,201.0
27338,201812,14,203.0
27339,201812,24,210.0
27340,201812,28,220.0
27341,201812,20,221.0
27342,201812,3,225.0
27347,201812,11,270.0
27348,201812,8,271.0
27349,201812,11,276.0
27432,201812,115,101.0
27433,201812,7,102.0
27434,201812,3,103.0
27435,201812,21,104.0
27436,201812,78,105.0
27437,201812,23,107.0
27438,201812,27,108.0
27439,201812,9,109.0
27440,201812,22,110.0
27441,201812,2,111.0
27442,201812,10,112.0
27443,201812,7,113.0
27444,201812,1,116.0
27445,201812,1,161.0
27446,201812,2,162.0
27447,201812,10,170.0
27450,201812,22,200.0
27451,201812,14,201.0
27452,201812,22,203.0
27453,201812,22,210.0
27454,201812,13,220.0
27455,201812,16,221.0
27456,201812,2,225.0
27462,201812,15,270.0
27463,201812,6,271.0
27464,201812,15,276.0
27538,201812,33,101.0
27539,201812,3,102.0
27540,201812,7,104.0
27541,201812,16,105.0
27542,201812,3,107.0
27543,201812,11,108.0
27544,201812,4,109.0
27545,201812,9,110.0
27546,201812,1,111.0
27547,201812,7,112.0
27548,201812,10,113.0
27549,201812,7,170.0
27551,201812,20,200.0
27552,201812,8,201.0
27553,201812,10,203.0
27554,201812,9,210.0
27555,201812,8,220.0
27556,201812,14,221.0
27557,201812,5,225.0
27560,201812,8,270.0
27561,201812,6,276.0
27622,201812,19,101.0
27623,201812,1,102.0
27624,201812,1,103.0
27625,201812,2,104.0
27626,201812,7,105.0
27627,201812,1,107.0
27628,201812,4,108.0
27629,201812,1,109.0
27630,201812,2,110.0
27631,201812,1,111.0
27632,201812,3,112.0
27633,201812,2,113.0
27634,201812,1,170.0
27635,201812,2,200.0
27636,201812,6,210.0
27637,201812,5,221.0
27639,201812,3,270.0
27640,201812,1,276.0
27671,201812,4,101.0
27672,201812,1,105.0
27673,201812,1,108.0
27674,201812,1,112.0
27675,201812,1,203.0
27676,201812,1,210.0
27677,201812,4,220.0
27678,201812,1,221.0
27692,201812,1,105.0
27693,201812,1,201.0
27694,201812,2,206.0
27698,201812,1,101.0
27706,201812,1,101.0
27714,201812,1,276.0
27715,201812,4,200.0
27716,201812,2,203.0
27718,201812,33,101.0
27719,201812,15,108.0
27720,201812,1,110.0
27721,201812,4,170.0
27722,201812,5,203.0
27723,201812,10,220.0
27724,201812,1,225.0
27726,201812,1,270.0
27753,201812,1,170.0
27760,201812,1,170.0
27765,201812,1,200.0
27766,201812,8,101.0
27767,201812,1,102.0
27768,201812,1,104.0
27769,201812,2,105.0
27770,201812,1,108.0
27771,201812,1,200.0
27772,201812,1,203.0
27773,201812,2,220.0
27790,201812,229,101.0
27791,201812,2,102.0
27792,201812,4,103.0
27793,201812,28,104.0
27794,201812,147,105.0
27795,201812,33,107.0
27796,201812,42,108.0
27797,201812,24,109.0
27798,201812,12,110.0
27799,201812,19,111.0
27800,201812,12,112.0
27801,201812,5,113.0
27802,201812,1,116.0
27803,201812,5,162.0
27804,201812,6,170.0
27806,201812,37,200.0
27807,201812,11,201.0
27808,201812,4,203.0
27809,201812,13,210.0
27810,201812,46,220.0
27811,201812,5,221.0
27812,201812,2,225.0
27821,201812,9,270.0
27822,201812,8,271.0
27823,201812,2,276.0
27919,201812,7,101.0
27920,201812,2,103.0
27921,201812,1,104.0
27922,201812,4,105.0
27923,201812,3,107.0
27924,201812,1,108.0
27925,201812,3,109.0
27926,201812,2,112.0
27927,201812,1,170.0
27928,201812,1,200.0
27929,201812,1,201.0
27930,201812,2,203.0
27931,201812,1,210.0
27932,201812,5,220.0
27935,201812,2,270.0
27957,201812,1,104.0
27958,201812,1,105.0
27959,201812,1,108.0
27960,201812,1,111.0
27961,201812,1,112.0
27962,201812,1,170.0
27963,201812,1,270.0
27980,201812,2,101.0
27981,201812,1,111.0
27982,201812,1,200.0
27984,201812,1,108.0
27993,201812,1,108.0
27996,201812,32,101.0
27997,201812,4,105.0
27998,201812,11,108.0
27999,201812,2,109.0
28000,201812,1,111.0
28001,201812,1,203.0
28002,201812,11,220.0
28022,201901,106,101.0
28023,201901,3,102.0
28024,201901,1,103.0
28025,201901,7,104.0
28026,201901,45,105.0
28027,201901,11,107.0
28028,201901,14,108.0
28029,201901,3,109.0
28030,201901,5,110.0
28031,201901,2,111.0
28032,201901,4,112.0
28033,201901,3,113.0
28034,201901,2,162.0
28035,201901,5,170.0
28037,201901,4,200.0
28038,201901,2,201.0
28039,201901,2,203.0
28040,201901,7,210.0
28041,201901,7,220.0
28042,201901,3,221.0
28045,201901,3,270.0
28046,201901,1,271.0
28047,201901,2,276.0
28106,201901,535,101.0
28107,201901,6,102.0
28108,201901,4,103.0
28109,201901,44,104.0
28110,201901,171,105.0
28111,201901,65,107.0
28112,201901,36,108.0
28113,201901,19,109.0
28114,201901,37,110.0
28115,201901,10,111.0
28116,201901,14,112.0
28117,201901,8,113.0
28118,201901,1,116.0
28119,201901,1,161.0
28120,201901,17,170.0
28122,201901,38,200.0
28123,201901,8,201.0
28124,201901,14,203.0
28125,201901,1,206.0
28126,201901,15,210.0
28127,201901,32,220.0
28128,201901,11,221.0
28129,201901,1,225.0
28135,201901,13,270.0
28136,201901,3,271.0
28137,201901,5,276.0
28217,201901,417,101.0
28218,201901,6,102.0
28219,201901,9,103.0
28220,201901,45,104.0
28221,201901,146,105.0
28222,201901,67,107.0
28223,201901,32,108.0
28224,201901,9,109.0
28225,201901,27,110.0
28226,201901,7,111.0
28227,201901,17,112.0
28228,201901,9,113.0
28229,201901,2,161.0
28230,201901,1,162.0
28231,201901,12,170.0
28232,201901,45,200.0
28233,201901,11,201.0
28234,201901,13,203.0
28235,201901,24,210.0
28236,201901,27,220.0
28237,201901,20,221.0
28238,201901,4,225.0
28243,201901,10,270.0
28244,201901,6,271.0
28245,201901,10,276.0
28329,201901,122,101.0
28330,201901,7,102.0
28331,201901,21,104.0
28332,201901,69,105.0
28333,201901,23,107.0
28334,201901,25,108.0
28335,201901,8,109.0
28336,201901,21,110.0
28337,201901,3,111.0
28338,201901,11,112.0
28339,201901,7,113.0
28340,201901,1,116.0
28341,201901,1,161.0
28342,201901,2,162.0
28343,201901,12,170.0
28346,201901,25,200.0
28347,201901,13,201.0
28348,201901,16,203.0
28349,201901,21,210.0
28350,201901,18,220.0
28351,201901,15,221.0
28352,201901,5,225.0
28359,201901,15,270.0
28360,201901,6,271.0
28361,201901,17,276.0
28441,201901,35,101.0
28442,201901,3,102.0
28443,201901,8,104.0
28444,201901,17,105.0
28445,201901,4,107.0
28446,201901,10,108.0
28447,201901,5,109.0
28448,201901,8,110.0
28449,201901,1,111.0
28450,201901,6,112.0
28451,201901,9,113.0
28452,201901,6,170.0
28454,201901,14,200.0
28455,201901,9,201.0
28456,201901,11,203.0
28457,201901,8,210.0
28458,201901,5,220.0
28459,201901,11,221.0
28460,201901,5,225.0
28462,201901,8,270.0
28463,201901,6,276.0
28526,201901,21,101.0
28527,201901,1,102.0
28528,201901,1,103.0
28529,201901,2,104.0
28530,201901,5,105.0
28531,201901,2,107.0
28532,201901,6,108.0
28533,201901,1,109.0
28534,201901,2,110.0
28535,201901,1,111.0
28536,201901,2,112.0
28537,201901,3,113.0
28538,201901,1,162.0
28539,201901,1,170.0
28540,201901,3,200.0
28541,201901,1,203.0
28542,201901,6,210.0
28543,201901,5,221.0
28545,201901,3,270.0
28546,201901,1,276.0
28575,201901,4,101.0
28576,201901,1,108.0
28577,201901,1,112.0
28578,201901,1,170.0
28579,201901,2,203.0
28580,201901,2,220.0
28581,201901,1,221.0
28592,201901,1,201.0
28593,201901,2,206.0
28598,201901,1,101.0
28606,201901,1,101.0
28613,201901,1,276.0
28614,201901,4,200.0
28615,201901,2,203.0
28617,201901,33,101.0
28618,201901,1,105.0
28619,201901,16,108.0
28620,201901,1,110.0
28621,201901,4,170.0
28622,201901,5,203.0
28623,201901,10,220.0
28624,201901,1,225.0
28626,201901,1,270.0
28652,201901,1,170.0
28659,201901,1,170.0
28664,201901,1,200.0
28665,201901,7,101.0
28666,201901,1,102.0
28667,201901,1,104.0
28668,201901,1,105.0
28669,201901,2,108.0
28670,201901,1,112.0
28671,201901,1,200.0
28672,201901,1,203.0
28675,201901,1,270.0
28692,201901,226,101.0
28693,201901,2,102.0
28694,201901,4,103.0
28695,201901,29,104.0
28696,201901,151,105.0
28697,201901,32,107.0
28698,201901,42,108.0
28699,201901,23,109.0
28700,201901,15,110.0
28701,201901,21,111.0
28702,201901,14,112.0
28703,201901,6,113.0
28704,201901,1,116.0
28705,201901,7,162.0
28706,201901,7,170.0
28708,201901,34,200.0
28709,201901,11,201.0
28710,201901,4,203.0
28711,201901,13,210.0
28712,201901,41,220.0
28713,201901,7,221.0
28714,201901,3,225.0
28723,201901,8,270.0
28724,201901,8,271.0
28725,201901,1,276.0
28818,201901,11,101.0
28819,201901,2,103.0
28820,201901,1,104.0
28821,201901,5,105.0
28822,201901,3,107.0
28823,201901,1,108.0
28824,201901,3,109.0
28825,201901,1,112.0
28826,201901,1,170.0
28827,201901,1,200.0
28828,201901,2,203.0
28829,201901,1,210.0
28830,201901,5,220.0
28833,201901,1,270.0
28856,201901,1,105.0
28857,201901,1,108.0
28858,201901,1,111.0
28859,201901,1,112.0
28860,201901,1,170.0
28861,201901,1,200.0
28862,201901,2,270.0
28881,201901,2,101.0
28882,201901,1,111.0
