utgdag,kaupverd,fasteignamat,einflm,lod_flm,fmverd,yfirverd,count,sveitarfelag_Garðabær,sveitarfelag_Hafnarfjarðarkaupstaður,sveitarfelag_Kópavogsbær,sveitarfelag_Mosfellsbær,sveitarfelag_Reykjavíkurborg,tegund_Fjolbyli,tegund_Serbyli
2006-07-02,25189.432098765432,18019.320987654322,114.18148148148154,3341.495061728395,221.73658132717685,0.84135046415924,81,1,17,13,2,48,69,12
2006-07-09,25308.790322580644,17615.629032258064,111.82258064516127,2876.9435483870966,233.5689270457913,1.2188031140878959,62,6,8,8,2,38,51,11
2006-07-16,23387.82051282051,18493.346153846152,111.69358974358975,3487.1038461538465,215.01630138595667,0.2979023085663593,78,4,15,14,3,42,65,13
2006-07-23,23792.9012345679,18745.444444444445,110.22098765432101,3847.0580246913582,217.89153674528296,0.2563770027366775,81,3,9,20,4,45,70,11
2006-07-30,21395.714285714286,16932.0,101.12063492063491,3212.4396825396825,218.13796909831515,0.38151157434238797,63,2,7,15,0,39,59,4
2006-08-06,22723.1884057971,17375.1884057971,102.17536231884057,3859.9942028985506,224.8711481065182,0.31957320908450554,69,2,9,9,1,48,65,4
2006-08-13,22014.285714285714,17763.285714285714,103.01071428571426,2392.2875,219.24080714238468,0.2346743360545403,56,2,8,8,4,34,48,8
2006-08-20,23563.153846153848,16916.2,105.74000000000001,3264.326153846154,229.2878345187298,0.44735542510182263,65,1,8,8,2,46,56,9
2006-08-27,24147.14285714286,18664.928571428572,114.6814285714286,2861.817142857143,216.48308784570077,0.31599862277166346,70,3,7,6,1,53,55,15
2006-09-03,25885.353535353537,19637.616161616163,115.36363636363643,3400.469696969697,225.11036020503838,0.3929892685752856,99,4,12,22,6,55,76,23
2006-09-10,25100.0,16963.32894736842,109.68026315789473,2788.061842105263,231.60332537499778,1.64715904294294,76,4,10,19,2,41,66,10
2006-09-17,23764.21052631579,17913.842105263157,103.53421052631579,3324.2381578947366,232.27216942959805,0.3374275209550966,76,4,4,11,2,55,65,11
2006-09-24,22986.53846153846,18069.48717948718,108.25769230769227,3745.934615384616,217.32578438114288,0.2895441276577964,78,4,5,15,1,53,64,14
2006-10-01,23114.356435643564,17608.811881188118,106.8356435643564,3479.345544554455,219.5056871860162,0.4794339154804018,101,5,14,13,3,66,90,11
2006-10-08,25014.70588235294,18804.42156862745,114.70196078431374,3568.524509803922,222.14721247671594,0.5259566404509243,102,4,15,19,4,60,87,15
2006-10-15,22765.852272727272,17188.545454545456,105.56022727272729,3516.674999999999,221.35348419064596,0.8012568752020599,88,5,19,9,6,49,74,14
2006-10-22,25592.20779220779,18354.74025974026,115.59740259740262,2720.2311688311693,219.1307425734692,0.40194350466554113,77,3,10,18,2,44,63,14
2006-10-29,23749.176470588234,18363.470588235294,107.03411764705884,3434.2835294117644,224.05272312440798,0.31055547416268603,85,3,18,10,1,53,74,11
2006-11-05,21694.64285714286,16744.309523809523,101.98214285714283,3202.5773809523807,217.74439255212383,0.5339959158892599,84,3,14,13,2,52,77,7
2006-11-12,25502.8125,18377.40625,117.03645833333333,3441.0093749999996,224.22484852264677,0.674101087290205,96,6,17,9,4,60,79,17
2006-11-19,24697.887096774193,18436.387096774193,112.69112903225803,3471.6008064516127,223.36052299773303,0.6695932195465526,124,4,16,18,3,83,103,21
2006-11-26,23441.056910569107,18009.70731707317,108.54796747967477,3243.016260162602,220.94202536920332,0.45276466409231225,123,8,14,18,5,78,102,21
2006-12-03,21960.69827586207,16975.060344827587,99.7991379310345,3318.163793103449,225.74480134472722,0.3150273732681819,116,4,19,17,5,71,104,12
2006-12-10,23159.772727272728,17973.522727272728,107.91515151515149,3875.166666666667,221.48007786818073,0.4143226748338303,132,8,12,11,9,92,113,19
2006-12-17,25414.80701754386,18953.798245614034,119.65350877192982,4254.279824561404,219.96150229015745,0.4300319072721146,114,8,14,23,2,67,92,22
2006-12-24,23482.06106870229,17290.12213740458,107.54427480916027,3745.1351145038157,222.9099515256446,0.5144376430315617,131,6,15,30,6,74,120,11
2006-12-31,25335.849056603773,19580.188679245282,112.19056603773586,4337.115094339622,226.65425440703254,0.7467270246199169,53,4,10,9,1,29,43,10
2007-01-07,26090.816326530614,20290.408163265307,119.47959183673473,3544.8632653061222,225.25025572974423,0.5160424323362974,49,1,6,7,2,33,39,10
