,date,fjöldi_kaupsamninga,auglyst_serbyli,auglyst_fjolbyli,solutimi,Verðtryggð lán,erlend_lan,Óverðtryggð lán,overdtryggt,verdtryggt,visitala_rvk_%,verdbolga_%,Reykjavík,Kópavogur,Garðabær,Hafnarfjörður,Mosfellsbær,"Eigendur, skuldlaust",Eigendur m. lán,"Leigjendur, alls"
73,2012-05-01,415.87,0.91,1.93,6.83,82.37111111111112,2.6666666666666665,12.284444444444444,5.65,3.75,0.3,-0.0792183786638478,0.4284478815972796,0.3930455044067593,0.418127184480311,0.3743156147071281,0.3485886548901364,15.633333333333333,56.2,28.133333333333333
74,2012-06-01,444.4,0.93,1.84,6.25,82.26222222222222,2.643333333333333,12.258888888888889,5.65,3.75,1.5,0.6078224101479845,0.4282050789900514,0.3933498223446933,0.4114296976082768,0.3743545349964601,0.3481482875532623,15.666666666666666,56.275,28.041666666666664
75,2012-07-01,378.18,0.94,1.81,7.26,82.15333333333334,2.62,12.233333333333334,6.15,3.75,0.9,-0.9981612818492304,0.4279622763828232,0.3936541402826273,0.4047322107362425,0.3743934552857922,0.3477079202163882,15.7,56.35,27.95
76,2012-08-01,424.64,0.92,1.7,6.16,82.04444444444445,2.5966666666666667,12.207777777777778,6.4,3.75,-0.2,-0.0795967100026384,0.4277194737755951,0.3939584582205613,0.3980347238642082,0.3744323755751242,0.3472675528795141,15.733333333333334,56.425,27.85833333333333
77,2012-09-01,370.2,0.95,1.63,6.96,81.93555555555555,2.5733333333333333,12.182222222222222,6.4,3.75,0.7,0.982474774296338,0.4274766711683669,0.3942627761584953,0.391337236992174,0.3744712958644563,0.34682718554264,15.766666666666667,56.5,27.766666666666666
78,2012-10-01,468.97,0.96,1.61,5.48,81.82666666666667,2.55,12.156666666666666,6.4,3.75,0.9,0.4733105443071261,0.4272338685611387,0.3945670940964293,0.3846397501201397,0.3745102161537884,0.3463868182057659,15.8,56.575,27.675
79,2012-11-01,473.1,0.96,1.55,5.31,81.71777777777778,2.5266666666666664,12.131111111111112,6.4,3.75,0.4,0.3663962313530389,0.4269910659539106,0.3948714120343633,0.3779422632481054,0.3745491364431204,0.3459464508688918,15.833333333333334,56.65,27.58333333333333
80,2012-12-01,431.43,0.91,1.48,5.52,81.60888888888888,2.5033333333333334,12.105555555555556,6.4,3.75,0.4,-0.0521512385919131,0.4267482633466824,0.3951757299722973,0.3712447763760712,0.3745880567324525,0.3455060835320178,15.866666666666667,56.725,27.491666666666667
81,2013-01-01,497.83,0.86,1.41,4.57,81.5,2.48,12.08,6.75,3.75,-0.3,0.208713801200111,0.4265054607394543,0.3954800479102313,0.3645472895040369,0.3746269770217845,0.3450657161951437,15.9,56.8,27.4
82,2013-02-01,455.28,0.85,1.37,4.86,80.0,2.17,12.05,6.75,3.75,0.2,2.0307211663629143,0.4262028286864393,0.3954744523201717,0.3646631771088368,0.3739395532960319,0.3448869156949515,16.05,56.83333333333333,27.216666666666665
